#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023MovedSensorPts
Date: 2022-08-04T23:38:48.702119Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 4
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2044	23.2156
H_R2H0_P2	124.2137	25.8699
PB_P1	81.8925	10.5148
PB_P2	122.3791	1.0973
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2162	29.7331	0.0019
Sensor	1	19.2372	28.9122	-0.0011
Sensor	1	29.1041	28.2711	-0.0014
Sensor	1	39.2961	27.7734	-0.0004
Sensor	1	49.3293	27.4481	-0.0011
Sensor	1	59.3651	27.3009	0.0019
Sensor	1	69.4001	27.2962	0.0004
Sensor	1	79.4314	27.4704	-0.0001
Sensor	1	89.6041	27.8206	0.0012
Sensor	1	99.6159	28.3194	-0.0002
Sensor	1	109.6137	29.0124	-0.0016
Sensor	1	119.7523	29.8491	0.0005
ABC_R2H0_0	2	119.9981	24.1957	0.3874
ABC_R2H0_0_A	2	124.2009	25.8622	0.3781
ABC_R2H0_0_B	2	124.4970	23.3303	0.3858
ABC_R2H0_0_C	2	115.7177	22.5406	0.3961
ABC_R2H0_0_D	2	115.5768	25.0495	0.3897
ABC_R2H0_1	2	109.9143	23.3349	0.3973
ABC_R2H0_10	2	18.8194	23.2414	0.4144
ABC_R2H0_10_A	2	23.2373	24.1917	0.4077
ABC_R2H0_10_B	2	23.1379	21.6295	0.4185
ABC_R2H0_10_C	2	14.3270	22.3087	0.4185
ABC_R2H0_10_D	2	14.5752	24.8357	0.4128
ABC_R2H0_11	2	8.7010	24.0638	0.4275
ABC_R2H0_11_A	2	13.1362	24.9516	0.4124
ABC_R2H0_11_B	2	12.9830	22.3601	0.4186
ABC_R2H0_11_C	2	4.1872	23.1983	0.4461
ABC_R2H0_11_D	2	4.4975	25.7453	0.4329
ABC_R2H0_1_A	2	114.1385	24.9385	0.3910
ABC_R2H0_1_B	2	114.3995	22.3794	0.3914
ABC_R2H0_1_C	2	105.6012	21.7486	0.4056
ABC_R2H0_1_D	2	105.5178	24.2732	0.4011
ABC_R2H0_2	2	99.8201	22.6601	0.3957
ABC_R2H0_2_A	2	104.0683	24.1921	0.4014
ABC_R2H0_2_B	2	104.2842	21.6184	0.3962
ABC_R2H0_2_C	2	95.4778	21.1306	0.3960
ABC_R2H0_2_D	2	95.4502	23.6992	0.3894
ABC_R2H0_3	2	89.7189	22.1641	0.4049
ABC_R2H0_3_A	2	93.9832	23.6122	0.4029
ABC_R2H0_3_B	2	94.1794	21.0717	0.4065
ABC_R2H0_3_C	2	85.3544	20.7017	0.4087
ABC_R2H0_3_D	2	85.3586	23.2707	0.4014
ABC_R2H0_4	2	79.5946	21.8094	0.3968
ABC_R2H0_4_A	2	83.8977	23.2059	0.3953
ABC_R2H0_4_B	2	84.0261	20.6036	0.3979
ABC_R2H0_4_C	2	75.2047	20.4319	0.4011
ABC_R2H0_4_D	2	75.2498	22.9963	0.3927
ABC_R2H0_5	2	69.4661	21.6221	0.4026
ABC_R2H0_5_A	2	73.7806	22.9438	0.3929
ABC_R2H0_5_B	2	73.8904	20.3635	0.4066
ABC_R2H0_5_C	2	65.0577	20.3203	0.4112
ABC_R2H0_5_D	2	65.1357	22.8608	0.4000
ABC_R2H0_6	2	59.3416	21.6234	0.4006
ABC_R2H0_6_A	2	63.6830	22.8715	0.3938
ABC_R2H0_6_B	2	63.7415	20.2962	0.3949
ABC_R2H0_6_C	2	54.9103	20.3900	0.4070
ABC_R2H0_6_D	2	55.0316	22.9361	0.4066
ABC_R2H0_7	2	49.2047	21.7664	0.4054
ABC_R2H0_7_A	2	53.5614	22.9483	0.4084
ABC_R2H0_7_B	2	53.5784	20.3492	0.4111
ABC_R2H0_7_C	2	44.7523	20.6148	0.4058
ABC_R2H0_7_D	2	44.9269	23.1534	0.3961
ABC_R2H0_8	2	39.0745	22.0902	0.4050
ABC_R2H0_8_A	2	43.4545	23.1917	0.3959
ABC_R2H0_8_B	2	43.4268	20.6149	0.4090
ABC_R2H0_8_C	2	34.6073	21.0123	0.4085
ABC_R2H0_8_D	2	34.8094	23.5417	0.4065
ABC_R2H0_9	2	28.9522	22.5807	0.4031
ABC_R2H0_9_A	2	33.3496	23.6105	0.4068
ABC_R2H0_9_B	2	33.2705	21.0458	0.4027
ABC_R2H0_9_C	2	24.4686	21.5661	0.4034
ABC_R2H0_9_D	2	24.7201	24.1006	0.3994
HCC_R2H0_2	2	22.6057	7.0023	0.4423
HCC_R2H0_2_A	2	25.3891	9.4174	0.4227
HCC_R2H0_2_B	2	25.6915	4.7950	0.4456
HCC_R2H0_2_C	2	19.7222	4.6588	0.4594
HCC_R2H0_2_D	2	19.6199	9.1380	0.4415
HCC_R2H0_3	2	12.2225	11.6018	0.4332
HCC_R2H0_3_A	2	15.0199	14.0053	0.4196
HCC_R2H0_3_B	2	15.3080	9.4006	0.4446
