#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: newscript
Date: 2022-09-09T06:38:49.300807Z
Institute: TRIUMF
Operator: a
Instrument Type: Mitutoyo CMM
Run Number: 4
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2006	23.2149
H_R2H0_P2	124.2125	25.8690
PB_P1	81.8898	10.5144
PB_P2	122.3778	1.0966
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2083	29.7318	0.0016
Sensor	1	119.7502	29.8584	-0.0016
Sensor	1	0.2954	0.1593	-0.0014
Sensor	1	127.2913	0.1765	0.0014
ABC_R2H0_0	2	124.2034	25.8655	0.3574
ABC_R2H0_1	2	114.1387	24.9384	0.3725
ABC_R2H0_2	2	104.0665	24.1917	0.3767
ABC_R2H0_3	2	93.9814	23.6125	0.3792
ABC_R2H0_4	2	83.8966	23.2065	0.3807
ABC_R2H0_5	2	73.7802	22.9436	0.3791
ABC_R2H0_6	2	63.6827	22.8719	0.3809
ABC_R2H0_7	2	53.5620	22.9485	0.3828
ABC_R2H0_8	2	43.4542	23.1931	0.3874
ABC_R2H0_9	2	33.3481	23.6116	0.3848
ABC_R2H0_10	2	23.2362	24.1923	0.3847
ABC_R2H0_11	2	13.1366	24.9523	0.3948
HCC_R2H0_2	2	25.4782	9.4176	0.3591
HCC_R2H0_3	2	15.0936	13.9992	0.3706
H_R2H0_0	2	2.5392	8.2793	0.3616
H_R2H0_1	2	83.8903	12.6400	0.4107
H_R2H0_2	2	115.1739	16.1915	0.3765
PB_1	2	123.5936	1.4306	0.4261
PB_2	2	109.6845	11.8182	0.2414
PB_3	2	83.2124	10.1812	0.4434
PB_4	2	86.9718	3.9501	0.4820
PB_5	2	60.2917	2.8821	0.4553
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1096	5.7784	2.8387
C2	4	117.8786	9.2521	2.7859
C3	4	104.0012	10.0103	2.8486
C4	4	104.4875	1.4806	2.9134
Shield	4	63.1641	-1.4195	5.5962
Shield	4	68.5397	-0.9559	5.5482
Shield	4	76.5592	-0.8373	5.6292
Shield	4	63.0868	5.5430	5.5458
Shield	4	72.1022	5.7243	5.3835
Shield	4	76.5976	5.2801	5.4867
