#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023MovedSensorPts
Date: 2022-08-04T23:38:44.738770Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 2
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2036	23.2153
H_R2H0_P2	124.2136	25.8698
PB_P1	81.8906	10.5150
PB_P2	122.3780	1.0971
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2200	29.7319	0.0027
Sensor	1	19.2380	28.9122	-0.0010
Sensor	1	29.1046	28.2714	-0.0042
Sensor	1	39.2960	27.7742	0.0006
Sensor	1	49.3294	27.4480	0.0016
Sensor	1	59.3654	27.3015	-0.0004
Sensor	1	69.4028	27.2955	-0.0008
Sensor	1	79.4306	27.4730	0.0008
Sensor	1	89.6038	27.8204	0.0019
Sensor	1	99.6161	28.3194	0.0003
Sensor	1	109.6145	29.0118	-0.0013
Sensor	1	119.7511	29.8482	-0.0003
ABC_R2H0_0	2	119.9974	24.1967	0.3791
ABC_R2H0_0_A	2	124.2009	25.8649	0.3693
ABC_R2H0_0_B	2	124.4951	23.3317	0.3828
ABC_R2H0_0_C	2	115.7171	22.5405	0.3951
ABC_R2H0_0_D	2	115.5765	25.0495	0.3692
ABC_R2H0_1	2	109.9137	23.3355	0.3878
ABC_R2H0_10	2	18.8185	23.2412	0.4012
ABC_R2H0_10_A	2	23.2353	24.1916	0.4022
ABC_R2H0_10_B	2	23.1378	21.6303	0.4034
ABC_R2H0_10_C	2	14.3256	22.3091	0.4010
ABC_R2H0_10_D	2	14.5755	24.8337	0.3983
ABC_R2H0_11	2	8.7020	24.0636	0.4215
ABC_R2H0_11_A	2	13.1368	24.9511	0.4139
ABC_R2H0_11_B	2	12.9840	22.3600	0.4182
ABC_R2H0_11_C	2	4.1865	23.1984	0.4311
ABC_R2H0_11_D	2	4.5006	25.7449	0.4227
ABC_R2H0_1_A	2	114.1382	24.9393	0.3929
ABC_R2H0_1_B	2	114.3994	22.3775	0.3848
ABC_R2H0_1_C	2	105.5991	21.7497	0.3919
ABC_R2H0_1_D	2	105.5180	24.2754	0.3815
ABC_R2H0_2	2	99.8195	22.6609	0.3853
ABC_R2H0_2_A	2	104.0672	24.1929	0.3834
ABC_R2H0_2_B	2	104.2845	21.6181	0.3849
ABC_R2H0_2_C	2	95.4775	21.1332	0.3833
ABC_R2H0_2_D	2	95.4487	23.6995	0.3893
ABC_R2H0_3	2	89.7181	22.1646	0.3912
ABC_R2H0_3_A	2	93.9825	23.6128	0.3951
ABC_R2H0_3_B	2	94.1785	21.0741	0.3909
ABC_R2H0_3_C	2	85.3543	20.7020	0.3903
ABC_R2H0_3_D	2	85.3572	23.2695	0.3884
ABC_R2H0_4	2	79.5942	21.8113	0.3880
ABC_R2H0_4_A	2	83.8971	23.2068	0.3834
ABC_R2H0_4_B	2	84.0252	20.6059	0.3846
ABC_R2H0_4_C	2	75.2045	20.4323	0.3925
ABC_R2H0_4_D	2	75.2500	23.0002	0.3913
ABC_R2H0_5	2	69.4661	21.6228	0.3866
ABC_R2H0_5_A	2	73.7801	22.9436	0.3939
ABC_R2H0_5_B	2	73.8905	20.3652	0.3879
ABC_R2H0_5_C	2	65.0571	20.3214	0.3808
ABC_R2H0_5_D	2	65.1366	22.8610	0.3837
ABC_R2H0_6	2	59.3420	21.6234	0.3909
ABC_R2H0_6_A	2	63.6836	22.8720	0.3858
ABC_R2H0_6_B	2	63.7426	20.2958	0.3870
ABC_R2H0_6_C	2	54.9113	20.3903	0.3981
ABC_R2H0_6_D	2	55.0304	22.9354	0.3928
ABC_R2H0_7	2	49.2046	21.7671	0.3892
ABC_R2H0_7_A	2	53.5609	22.9499	0.3989
ABC_R2H0_7_B	2	53.5776	20.3515	0.3870
ABC_R2H0_7_C	2	44.7525	20.6143	0.3848
ABC_R2H0_7_D	2	44.9275	23.1529	0.3862
ABC_R2H0_8	2	39.0741	22.0898	0.3973
ABC_R2H0_8_A	2	43.4552	23.1917	0.3936
ABC_R2H0_8_B	2	43.4259	20.6146	0.3971
ABC_R2H0_8_C	2	34.6064	21.0115	0.3979
ABC_R2H0_8_D	2	34.8091	23.5415	0.4007
ABC_R2H0_9	2	28.9511	22.5805	0.4004
ABC_R2H0_9_A	2	33.3492	23.6105	0.4008
ABC_R2H0_9_B	2	33.2691	21.0451	0.3879
ABC_R2H0_9_C	2	24.4678	21.5674	0.4088
ABC_R2H0_9_D	2	24.7184	24.0992	0.4039
HCC_R2H0_2	2	22.6061	7.0010	0.3956
HCC_R2H0_2_A	2	25.3885	9.4159	0.3878
HCC_R2H0_2_B	2	25.6911	4.7942	0.3873
HCC_R2H0_2_C	2	19.7238	4.6578	0.4057
HCC_R2H0_2_D	2	19.6209	9.1360	0.4014
HCC_R2H0_3	2	12.2233	11.6019	0.4105
HCC_R2H0_3_A	2	15.0208	14.0050	0.4036
HCC_R2H0_3_B	2	15.3103	9.3997	0.4035
HCC_R2H0_3_C	2	9.3222	9.2633	0.4169
HCC_R2H0_3_D	2	9.2399	13.7396	0.4180
H_R2H0_0	2	2.8905	10.6199	0.3946
H_R2H0_0_A	2	2.6105	8.2704	0.4013
H_R2H0_0_B	2	2.8505	9.7492	0.4000
H_R2H0_0_C	2	2.9270	10.9859	0.3935
H_R2H0_0_D	2	3.1738	13.4741	0.3836
H_R2H0_1	2	87.5112	12.8019	0.4331
H_R2H0_1_A	2	83.8914	12.6389	0.4293
H_R2H0_1_B	2	87.1297	12.7896	0.4453
H_R2H0_1_C	2	87.9065	12.8165	0.4382
H_R2H0_1_D	2	91.1172	12.9628	0.4198
H_R2H0_2	2	117.7955	16.3717	0.4004
H_R2H0_2_A	2	115.0077	15.9748	0.4131
H_R2H0_2_B	2	115.6129	16.7345	0.3923
H_R2H0_2_C	2	119.9773	16.0066	0.3944
H_R2H0_2_D	2	120.5840	16.7711	0.4019
PB_1	2	123.4666	5.6678	0.3983
