#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023MovedSensorPts
Date: 2022-08-04T23:38:53.036772Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 6
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2038	23.2155
H_R2H0_P2	124.2127	25.8699
PB_P1	81.8914	10.5147
PB_P2	122.3773	1.0972
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2168	29.7327	0.0023
Sensor	1	19.2363	28.9122	-0.0004
Sensor	1	29.1051	28.2708	-0.0029
Sensor	1	39.2957	27.7722	-0.0011
Sensor	1	49.3297	27.4485	-0.0004
Sensor	1	59.3654	27.3010	0.0023
Sensor	1	69.4001	27.2963	-0.0002
Sensor	1	79.4299	27.4717	-0.0007
Sensor	1	89.6046	27.8197	0.0028
Sensor	1	99.6164	28.3212	-0.0004
Sensor	1	109.6140	29.0119	-0.0008
Sensor	1	119.7508	29.8492	-0.0005
ABC_R2H0_0	2	119.9980	24.1949	0.3858
ABC_R2H0_0_A	2	124.2006	25.8623	0.3764
ABC_R2H0_0_B	2	124.4968	23.3290	0.3838
ABC_R2H0_0_C	2	115.7179	22.5401	0.3941
ABC_R2H0_0_D	2	115.5765	25.0483	0.3888
ABC_R2H0_1	2	109.9150	23.3342	0.3972
ABC_R2H0_10	2	18.8182	23.2408	0.4087
ABC_R2H0_10_A	2	23.2362	24.1915	0.4119
ABC_R2H0_10_B	2	23.1388	21.6298	0.4109
ABC_R2H0_10_C	2	14.3238	22.3086	0.4096
ABC_R2H0_10_D	2	14.5741	24.8334	0.4024
ABC_R2H0_11	2	8.7017	24.0634	0.4274
ABC_R2H0_11_A	2	13.1358	24.9516	0.4128
ABC_R2H0_11_B	2	12.9849	22.3598	0.4259
ABC_R2H0_11_C	2	4.1878	23.1980	0.4340
ABC_R2H0_11_D	2	4.4985	25.7440	0.4370
ABC_R2H0_1_A	2	114.1391	24.9374	0.3980
ABC_R2H0_1_B	2	114.3989	22.3777	0.3915
ABC_R2H0_1_C	2	105.6026	21.7493	0.4004
ABC_R2H0_1_D	2	105.5192	24.2725	0.3991
ABC_R2H0_2	2	99.8196	22.6600	0.3974
ABC_R2H0_2_A	2	104.0676	24.1916	0.4005
ABC_R2H0_2_B	2	104.2841	21.6183	0.3976
ABC_R2H0_2_C	2	95.4782	21.1313	0.3990
ABC_R2H0_2_D	2	95.4486	23.6986	0.3925
ABC_R2H0_3	2	89.7185	22.1642	0.4050
ABC_R2H0_3_A	2	93.9821	23.6120	0.3946
ABC_R2H0_3_B	2	94.1789	21.0731	0.4094
ABC_R2H0_3_C	2	85.3549	20.7017	0.4097
ABC_R2H0_3_D	2	85.3580	23.2701	0.4063
ABC_R2H0_4	2	79.5938	21.8094	0.3978
ABC_R2H0_4_A	2	83.8974	23.2050	0.3964
ABC_R2H0_4_B	2	84.0241	20.6052	0.3974
ABC_R2H0_4_C	2	75.2041	20.4310	0.4035
ABC_R2H0_4_D	2	75.2497	22.9965	0.3939
ABC_R2H0_5	2	69.4657	21.6216	0.4025
ABC_R2H0_5_A	2	73.7799	22.9427	0.3890
ABC_R2H0_5_B	2	73.8900	20.3635	0.4110
ABC_R2H0_5_C	2	65.0580	20.3198	0.4107
ABC_R2H0_5_D	2	65.1347	22.8603	0.3993
ABC_R2H0_6	2	59.3417	21.6226	0.4031
ABC_R2H0_6_A	2	63.6841	22.8713	0.4041
ABC_R2H0_6_B	2	63.7415	20.2944	0.4069
ABC_R2H0_6_C	2	54.9104	20.3883	0.3954
ABC_R2H0_6_D	2	55.0306	22.9363	0.4062
ABC_R2H0_7	2	49.2049	21.7665	0.4017
ABC_R2H0_7_A	2	53.5620	22.9479	0.4067
ABC_R2H0_7_B	2	53.5776	20.3499	0.3973
ABC_R2H0_7_C	2	44.7522	20.6149	0.4012
ABC_R2H0_7_D	2	44.9280	23.1534	0.4018
ABC_R2H0_8	2	39.0742	22.0906	0.4062
ABC_R2H0_8_A	2	43.4557	23.1914	0.4100
ABC_R2H0_8_B	2	43.4252	20.6169	0.4104
ABC_R2H0_8_C	2	34.6067	21.0122	0.4096
ABC_R2H0_8_D	2	34.8090	23.5421	0.3948
ABC_R2H0_9	2	28.9517	22.5807	0.4102
