#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: a
Date: 2022-06-14T16:48:24.784820Z
Institute: SFU
Operator: a
Instrument Type: Smartscope Flash 302
Run Number: 1
Measurement program version: v2
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2227	23.2077
H_R2H0_P2	124.2310	25.8580
PB_P1	79.6397	6.9577
PB_P2	122.4004	1.0990
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.1009	28.8735	-0.0000
Sensor	1	19.1271	28.0551	-0.0000
Sensor	1	29.1655	27.4020	-0.0000
Sensor	1	39.2133	26.9144	-0.0000
Sensor	1	49.2677	26.5924	-0.0000
Sensor	1	59.3261	26.4361	-0.0000
Sensor	1	69.3856	26.4455	-0.0000
Sensor	1	79.4437	26.6207	-0.0000
Sensor	1	89.4975	26.9615	-0.0000
Sensor	1	99.5443	27.4679	-0.0000
Sensor	1	109.5815	28.1398	-0.0000
Sensor	1	119.6061	28.9770	-0.0000
ABC_R2H0_0	2	120.0315	24.1903	0.3313
ABC_R2H0_1	2	109.9490	23.3320	0.3361
ABC_R2H0_10	2	18.8534	23.2501	0.3649
ABC_R2H0_11	2	8.7361	24.0741	0.3599
ABC_R2H0_2	2	99.8539	22.6586	0.3538
ABC_R2H0_3	2	89.7524	22.1640	0.3555
ABC_R2H0_4	2	79.6282	21.8113	0.3522
ABC_R2H0_5	2	69.5002	21.6247	0.3607
ABC_R2H0_6	2	59.3761	21.6275	0.3564
ABC_R2H0_7	2	49.2392	21.7719	0.3594
ABC_R2H0_8	2	39.1082	22.0967	0.3615
ABC_R2H0_9	2	28.9839	22.5885	0.3618
HCC_R2H0_2	2	22.6305	7.0161	0.3490
HCC_R2H0_3	2	12.2562	11.6114	0.3478
H_R2H0_0	2	2.9235	10.6255	0.3655
H_R2H0_1	2	87.5430	12.7994	0.3898
H_R2H0_2	2	117.8270	16.3658	0.3375
PB_1	2	123.4701	6.6432	0.3281
PB_2	2	109.7038	11.8250	0.2631
PB_3	2	87.1373	10.4427	0.4165
PB_4	2	85.9003	1.3979	0.5050
PB_5	2	60.3209	2.9180	0.4295
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	118.1346	5.7747	2.8309
C2	4	117.9117	9.2484	2.7927
C3	4	104.0345	10.0185	2.8523
C4	4	104.5127	1.4886	2.8890
Shield	4	70.0343	2.2472	5.6026
