#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000023MovedSensorPts
Date: 2022-08-04T23:38:46.466973Z
Institute: SFU
Operator: AR
Instrument Type: Smartscope Flash 302
Run Number: 3
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.2039	23.2157
H_R2H0_P2	124.2143	25.8701
PB_P1	81.8914	10.5151
PB_P2	122.3786	1.0974
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	9.2175	29.7327	0.0028
Sensor	1	19.2372	28.9127	-0.0020
Sensor	1	29.1064	28.2727	-0.0018
Sensor	1	39.2953	27.7728	0.0001
Sensor	1	49.3284	27.4489	-0.0010
Sensor	1	59.3658	27.3009	0.0008
Sensor	1	69.4008	27.2968	-0.0000
Sensor	1	79.4280	27.4727	-0.0007
Sensor	1	89.6031	27.8192	0.0044
Sensor	1	99.6165	28.3192	-0.0022
Sensor	1	109.6135	29.0126	0.0008
Sensor	1	119.7504	29.8492	-0.0012
ABC_R2H0_0	2	119.9972	24.1947	0.3858
ABC_R2H0_0_A	2	124.2007	25.8618	0.3764
ABC_R2H0_0_B	2	124.4952	23.3297	0.3857
ABC_R2H0_0_C	2	115.7168	22.5379	0.3993
ABC_R2H0_0_D	2	115.5762	25.0493	0.3818
ABC_R2H0_1	2	109.9151	23.3346	0.3958
ABC_R2H0_10	2	18.8197	23.2414	0.4087
ABC_R2H0_10_A	2	23.2369	24.1924	0.4069
ABC_R2H0_10_B	2	23.1390	21.6302	0.4019
ABC_R2H0_10_C	2	14.3266	22.3084	0.4161
ABC_R2H0_10_D	2	14.5762	24.8346	0.4099
ABC_R2H0_11	2	8.7016	24.0642	0.4236
ABC_R2H0_11_A	2	13.1383	24.9512	0.4123
ABC_R2H0_11_B	2	12.9840	22.3602	0.4253
ABC_R2H0_11_C	2	4.1872	23.1984	0.4389
ABC_R2H0_11_D	2	4.4970	25.7468	0.4179
ABC_R2H0_1_A	2	114.1405	24.9377	0.3963
ABC_R2H0_1_B	2	114.3993	22.3788	0.3870
ABC_R2H0_1_C	2	105.6024	21.7476	0.4060
ABC_R2H0_1_D	2	105.5182	24.2742	0.3940
ABC_R2H0_2	2	99.8200	22.6591	0.3977
ABC_R2H0_2_A	2	104.0670	24.1910	0.3901
ABC_R2H0_2_B	2	104.2842	21.6156	0.4066
ABC_R2H0_2_C	2	95.4789	21.1308	0.3935
ABC_R2H0_2_D	2	95.4500	23.6991	0.4008
ABC_R2H0_3	2	89.7192	22.1634	0.3975
ABC_R2H0_3_A	2	93.9834	23.6121	0.4068
ABC_R2H0_3_B	2	94.1806	21.0712	0.3954
ABC_R2H0_3_C	2	85.3542	20.7013	0.3896
ABC_R2H0_3_D	2	85.3588	23.2690	0.3983
ABC_R2H0_4	2	79.5949	21.8104	0.3959
ABC_R2H0_4_A	2	83.8972	23.2057	0.4003
ABC_R2H0_4_B	2	84.0262	20.6052	0.4019
ABC_R2H0_4_C	2	75.2050	20.4317	0.3962
ABC_R2H0_4_D	2	75.2512	22.9991	0.3851
ABC_R2H0_5	2	69.4666	21.6213	0.3959
ABC_R2H0_5_A	2	73.7814	22.9426	0.3965
ABC_R2H0_5_B	2	73.8902	20.3634	0.4007
ABC_R2H0_5_C	2	65.0597	20.3200	0.3924
ABC_R2H0_5_D	2	65.1351	22.8592	0.3940
ABC_R2H0_6	2	59.3420	21.6236	0.4061
ABC_R2H0_6_A	2	63.6831	22.8723	0.4002
ABC_R2H0_6_B	2	63.7414	20.2964	0.4070
ABC_R2H0_6_C	2	54.9127	20.3897	0.4152
ABC_R2H0_6_D	2	55.0307	22.9361	0.4020
ABC_R2H0_7	2	49.2046	21.7667	0.3948
ABC_R2H0_7_A	2	53.5613	22.9481	0.3975
ABC_R2H0_7_B	2	53.5768	20.3513	0.3952
ABC_R2H0_7_C	2	44.7528	20.6142	0.3941
ABC_R2H0_7_D	2	44.9274	23.1533	0.3923
ABC_R2H0_8	2	39.0742	22.0899	0.4067
ABC_R2H0_8_A	2	43.4550	23.1915	0.4092
ABC_R2H0_8_B	2	43.4269	20.6137	0.4060
ABC_R2H0_8_C	2	34.6055	21.0113	0.4096
ABC_R2H0_8_D	2	34.8095	23.5430	0.4019
ABC_R2H0_9	2	28.9502	22.5808	0.4025
ABC_R2H0_9_A	2	33.3501	23.6103	0.3927
ABC_R2H0_9_B	2	33.2706	21.0456	0.4088
ABC_R2H0_9_C	2	24.4681	21.5682	0.4032
ABC_R2H0_9_D	2	24.7120	24.0991	0.4055
HCC_R2H0_2	2	22.6057	7.0018	0.4279
HCC_R2H0_2_A	2	25.3894	9.4159	0.4119
HCC_R2H0_2_B	2	25.6915	4.7950	0.4285
HCC_R2H0_2_C	2	19.7225	4.6592	0.4489
HCC_R2H0_2_D	2	19.6195	9.1372	0.4222
HCC_R2H0_3	2	12.2229	11.6023	0.4279
HCC_R2H0_3_A	2	15.0200	14.0058	0.4250
HCC_R2H0_3_B	2	15.3087	9.4017	0.4319
HCC_R2H0_3_C	2	9.3235	9.2640	0.4297
HCC_R2H0_3_D	2	9.2395	13.7377	0.4250
H_R2H0_0	2	2.8911	10.6211	0.4190
H_R2H0_0_A	2	2.6111	8.2720	0.4271
H_R2H0_0_B	2	2.8510	9.7501	0.4252
H_R2H0_0_C	2	2.9278	10.9874	0.4101
H_R2H0_0_D	2	3.1745	13.4748	0.4138
H_R2H0_1	2	87.5128	12.7999	0.4591
H_R2H0_1_A	2	83.8935	12.6377	0.4555
H_R2H0_1_B	2	87.1319	12.7868	0.4699
H_R2H0_1_C	2	87.9074	12.8147	0.4686
H_R2H0_1_D	2	91.1182	12.9603	0.4424
H_R2H0_2	2	117.7962	16.3701	0.4171
H_R2H0_2_A	2	115.0086	15.9734	0.4337
H_R2H0_2_B	2	115.6136	16.7330	0.4107
H_R2H0_2_C	2	119.9780	16.0048	0.4192
H_R2H0_2_D	2	120.5848	16.7694	0.4050
PB_1	2	123.4697	5.6694	0.4335
PB_1_A	2	123.5945	1.4287	0.5168
PB_1_B	2	123.5897	1.4369	0.5125
PB_1_C	2	123.2618	7.0986	0.4162
PB_1_D	2	123.4328	12.7134	0.2888
PB_2	2	109.6848	11.8207	0.2881
PB_3	2	87.1060	10.4269	0.4935
PB_3_A	2	83.2129	10.1646	0.4934
PB_3_B	2	86.7248	10.4484	0.5141
PB_3_C	2	87.6817	10.4851	0.5004
PB_3_D	2	90.8045	10.6097	0.4661
PB_4	2	85.8728	1.3798	0.5768
