#---Header
EC or Barrel: EC
Module type: R2
Module ref. Number: 20USEM20000016
Date: 2022-03-08T13:55:58.000000Z
Institute: TRIUMF
Operator: Peter Speers
Instrument Type: Mitutoyo CMM
Run Number: 1
Measurement program version: v1
#---Positions
#Location	X[mm]	Y[mm]
H_R2H0_P1	4.1800	23.1808
H_R2H0_P2	124.1764	25.8036
PB_P1	81.7627	10.4222
PB_P2	122.2869	1.1536
#---Glue heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
Sensor	1	1.1854	0.8939	0.0440
Sensor	1	10.6686	1.8699	0.0137
Sensor	1	22.6476	0.8486	0.0079
Sensor	1	59.2413	-1.2772	0.0099
Sensor	1	125.1047	14.1840	0.0594
Sensor	1	87.4845	11.8988	0.0132
Sensor	1	9.4959	28.9922	-0.0039
Sensor	1	19.8999	27.9150	-0.0140
Sensor	1	29.8020	27.1862	-0.0176
Sensor	1	39.9343	26.8165	-0.0248
Sensor	1	49.7122	26.5463	-0.0306
Sensor	1	59.6242	26.7504	-0.0300
Sensor	1	70.2860	26.5931	-0.0307
Sensor	1	79.9189	27.1430	-0.0313
Sensor	1	89.0942	27.4089	-0.0271
Sensor	1	99.2838	27.7563	-0.0185
Sensor	1	109.6469	28.7069	-0.0068
Sensor	1	119.0243	29.4222	-0.0006
Sensor	1	121.0563	60.4658	0.0407
Sensor	1	8.4028	60.8965	0.0473
ABC_R2H0_0	2	119.9446	24.1343	0.4157
ABC_R2H0_1	2	109.8849	23.3158	0.4004
ABC_R2H0_10	2	18.7958	23.2265	0.3969
ABC_R2H0_11	2	8.6759	24.0616	0.3995
ABC_R2H0_2	2	99.7897	22.6278	0.4038
ABC_R2H0_3	2	89.7003	22.1303	0.3927
ABC_R2H0_4	2	79.5745	21.7793	0.3761
ABC_R2H0_5	2	69.4440	21.5999	0.3738
ABC_R2H0_6	2	59.3198	21.5902	0.3760
ABC_R2H0_7	2	49.1800	21.7403	0.3821
ABC_R2H0_8	2	39.0557	22.0732	0.3883
ABC_R2H0_9	2	28.9347	22.5714	0.3908
HCC_R2H0_0	2	12.2318	11.5946	0.3765
HCC_R2H0_1	2	22.5870	6.9878	0.3681
H_R2H0_0	2	2.8648	10.7417	0.4082
H_R2H0_1	2	87.5835	12.8378	0.4476
H_R2H0_2	2	117.7353	16.3690	0.4392
PB_1	2	123.6904	3.1104	0.5634
PB_2	2	122.1232	12.8261	0.4807
PB_3	2	87.0561	10.3554	0.3896
PB_4	2	85.7698	0.7494	0.4084
PB_5	2	59.9778	2.7412	0.6613
#---Other heights:
#Location	Type	X[mm]	Y[mm]	Z[mm]
C1	4	117.9272	5.8557	3.0200
C2	4	117.7229	9.2204	2.9220
C3	4	103.8265	9.9447	2.8720
C4	4	104.3379	1.4321	2.9988
Shield	4	70.7368	2.8151	5.4372
